SINGLE-DAY EXECUTION TRACE — EURUSD M15 — 2022-12-01
Data inspection window: 2022-11-30 22:00 UTC to 2022-12-01 23:45 UTC
07:00 LOCK | Asian High=1.04640 Low=1.03936 Range=70.4 pips SL distance=17.6 pips Close=1.04030
Session type=RANGE | Momentum filter disabled=False | Bias=BEARISH | M15 structure=BULLISH | New-entry cutoff=18:00 UTC | Entry mode=limit

[00] 2022-12-01 07:00 UTC | O=1.04030 H=1.04241 L=1.03930 C=1.04237 | GATES circuit=OPEN cooldown=CLEAR spread=1.00p(model) | SIGNAL low_sweep=True high_sweep=False close_sweep_low=True close_sweep_high=False

[01] 2022-12-01 07:15 UTC | O=1.04235 H=1.04278 L=1.04034 C=1.04109 | GATES circuit=OPEN cooldown=CLEAR spread=0.68p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[02] 2022-12-01 07:30 UTC | O=1.04106 H=1.04320 L=1.04103 C=1.04303 | GATES circuit=OPEN cooldown=CLEAR spread=0.65p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[03] 2022-12-01 07:45 UTC | O=1.04302 H=1.04465 L=1.04266 C=1.04441 | GATES circuit=OPEN cooldown=CLEAR spread=0.62p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[04] 2022-12-01 08:00 UTC | O=1.04440 H=1.04469 L=1.04269 C=1.04360 | GATES circuit=OPEN cooldown=CLEAR spread=0.60p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[05] 2022-12-01 08:15 UTC | O=1.04360 H=1.04449 L=1.04335 C=1.04401 | GATES circuit=OPEN cooldown=CLEAR spread=0.58p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[06] 2022-12-01 08:30 UTC | O=1.04400 H=1.04411 L=1.04287 C=1.04357 | GATES circuit=OPEN cooldown=CLEAR spread=0.55p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[07] 2022-12-01 08:45 UTC | O=1.04357 H=1.04426 L=1.04317 C=1.04415 | GATES circuit=OPEN cooldown=CLEAR spread=0.53p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[08] 2022-12-01 09:00 UTC | O=1.04414 H=1.04500 L=1.04378 C=1.04460 | GATES circuit=OPEN cooldown=CLEAR spread=0.50p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

