SINGLE-DAY EXECUTION TRACE — EURUSD M15 — 2022-10-10
Data inspection window: 2022-10-09 22:00 UTC to 2022-10-10 23:45 UTC
07:00 LOCK | Asian High=0.97533 Low=0.97159 Range=37.4 pips SL distance=9.4 pips Close=0.97190
Session type=BEARISH_TREND | Momentum filter disabled=False

[00] 2022-10-10 07:00 UTC | O=0.97192 H=0.97333 L=0.97184 C=0.97297 | GATES circuit=OPEN cooldown=CLEAR spread=1.00p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=True close_sweep_high=False

[01] 2022-10-10 07:15 UTC | O=0.97295 H=0.97311 L=0.97229 C=0.97229 | GATES circuit=OPEN cooldown=CLEAR spread=0.68p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[02] 2022-10-10 07:30 UTC | O=0.97228 H=0.97256 L=0.97043 C=0.97046 | GATES circuit=OPEN cooldown=CLEAR spread=0.65p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[03] 2022-10-10 07:45 UTC | O=0.97046 H=0.97081 L=0.96992 C=0.97069 | GATES circuit=OPEN cooldown=CLEAR spread=0.62p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[04] 2022-10-10 08:00 UTC | O=0.97065 H=0.97090 L=0.96903 C=0.96907 | GATES circuit=OPEN cooldown=CLEAR spread=0.60p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[05] 2022-10-10 08:15 UTC | O=0.96904 H=0.96977 L=0.96875 C=0.96923 | GATES circuit=OPEN cooldown=CLEAR spread=0.58p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[06] 2022-10-10 08:30 UTC | O=0.96922 H=0.96926 L=0.96819 C=0.96873 | GATES circuit=OPEN cooldown=CLEAR spread=0.55p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[07] 2022-10-10 08:45 UTC | O=0.96873 H=0.96932 L=0.96847 C=0.96885 | GATES circuit=OPEN cooldown=CLEAR spread=0.53p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[08] 2022-10-10 09:00 UTC | O=0.96887 H=0.97092 L=0.96886 C=0.97002 | GATES circuit=OPEN cooldown=CLEAR spread=0.50p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[09] 2022-10-10 09:15 UTC | O=0.97004 H=0.97085 L=0.96948 C=0.96963 | GATES circuit=OPEN cooldown=CLEAR spread=0.48p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[10] 2022-10-10 09:30 UTC | O=0.96963 H=0.97062 L=0.96938 C=0.97053 | GATES circuit=OPEN cooldown=CLEAR spread=0.45p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[11] 2022-10-10 09:45 UTC | O=0.97053 H=0.97093 L=0.97024 C=0.97067 | GATES circuit=OPEN cooldown=CLEAR spread=0.43p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[12] 2022-10-10 10:00 UTC | O=0.97067 H=0.97095 L=0.97027 C=0.97063 | GATES circuit=OPEN cooldown=CLEAR spread=0.40p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[13] 2022-10-10 10:15 UTC | O=0.97063 H=0.97063 L=0.96978 C=0.97046 | GATES circuit=OPEN cooldown=CLEAR spread=0.43p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[14] 2022-10-10 10:30 UTC | O=0.97046 H=0.97089 L=0.96962 C=0.96979 | GATES circuit=OPEN cooldown=CLEAR spread=0.45p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

